invoice_id,client_id,due_date,paid_date,amount
INV00001,C001,2019-12-19,2020-01-17,5282.79
INV00002,C002,2020-01-03,2020-01-20,5192.27
INV00003,C003,2020-01-20,2020-02-10,329.17
INV00004,C003,2020-02-06,2020-02-14,493.75
INV00005,C004,2020-02-02,2020-02-09,9695.5
INV00006,C005,2019-12-14,2020-01-12,10009.25
INV00007,C006,2020-01-12,2020-01-24,8439.47
INV00008,C007,2020-01-12,2020-01-27,5638.95
INV00009,C008,2019-11-25,2020-01-07,6561.72
INV00010,C009,2020-01-11,2020-02-13,10951.27
INV00011,C010,2020-01-22,2020-02-14,4030.03
INV00012,C011,2019-12-25,2020-01-06,3513.2
INV00013,C011,2019-12-15,2020-01-10,5269.8
INV00014,C013,2019-12-08,2020-01-13,11636.3
INV00015,C016,2019-12-25,2020-01-28,14617.37
INV00016,C017,2019-12-11,2020-01-17,14372.57
INV00017,C019,2020-01-02,2020-02-06,3543.07
INV00018,C022,2019-12-20,2020-01-03,5432.69
INV00019,C023,2020-01-21,2020-01-31,6498.85
INV00020,C024,2019-12-30,2020-01-15,3741.91
INV00021,C025,2020-01-05,2020-02-14,10164.51
INV00022,C026,2020-01-08,2020-01-20,5816.1
INV00023,C028,2020-01-10,2020-02-14,4614.65
INV00024,C029,2019-12-19,2020-01-10,9270.32
INV00025,C038,2019-12-29,2020-01-26,9624.42
INV00026,C042,2020-01-07,2020-01-30,872.29
INV00027,C042,2019-12-31,2020-02-03,1308.44
INV00028,C046,2019-12-30,2020-01-15,12441.26
INV00029,C047,2020-01-01,2020-01-21,8631.24
INV00030,C048,2019-12-26,2020-01-03,3275.61
INV00031,C050,2020-01-10,2020-02-05,5902.06
INV00032,C052,2020-01-18,2020-02-07,7580.27
INV00033,C054,2020-01-13,2020-02-10,543.84
INV00034,C059,2019-12-17,2020-01-30,13819.19
INV00035,C065,2020-01-04,2020-02-05,7856.41
INV00036,C065,2020-01-29,2020-02-09,11784.62
INV00037,C066,2019-12-27,2020-02-10,4064.08
INV00038,C073,2019-11-28,2020-01-08,1060.1
INV00039,C074,2019-11-29,2020-01-11,9304.21
INV00040,C075,2020-01-02,2020-01-12,7571.93
INV00041,C075,2019-12-08,2020-01-16,11357.89
INV00042,C080,2019-12-10,2020-01-03,4207.66
INV00043,C081,2019-12-10,2020-01-20,12012.96
INV00044,C088,2019-11-19,2020-01-02,2392.71
INV00045,C094,2019-12-19,2020-01-08,1171.11
INV00046,C095,2020-01-26,2020-02-13,6767.41
INV00047,C096,2019-12-24,2020-01-27,855.34
INV00048,C098,2019-12-25,2020-02-04,7508.36
INV00049,C001,2020-01-22,2020-03-04,2016.51
INV00050,C001,2020-01-30,2020-03-08,3024.76
INV00051,C003,2020-02-03,2020-03-05,882.71
INV00052,C004,2020-02-03,2020-03-07,3815.79
INV00053,C004,2020-02-17,2020-03-11,5723.69
INV00054,C005,2020-02-29,2020-03-07,10666.47
INV00055,C006,2020-02-03,2020-03-05,8598.55
INV00056,C008,2019-12-26,2020-02-05,2741.22
INV00057,C008,2020-01-17,2020-02-09,4111.84
INV00058,C009,2020-02-13,2020-03-11,10710.55
INV00059,C014,2020-02-13,2020-03-01,11756.91
INV00060,C016,2020-01-06,2020-02-07,9470.87
INV00061,C017,2020-02-20,2020-03-11,9035.42
INV00062,C018,2020-01-23,2020-02-19,11876.5
INV00063,C019,2020-01-24,2020-02-17,11132.46
INV00064,C021,2020-02-08,2020-03-06,2182.05
INV00065,C024,2020-01-24,2020-03-05,3978.45
INV00066,C027,2020-01-13,2020-02-26,1682.88
INV00067,C028,2020-02-03,2020-03-07,3300.79
INV00068,C028,2020-02-03,2020-03-11,4951.18
INV00069,C029,2020-03-01,2020-03-15,6570.5
INV00070,C030,2020-02-17,2020-03-04,1526.79
INV00071,C030,2020-01-30,2020-03-08,2290.18
INV00072,C032,2020-01-07,2020-02-04,1128.97
INV00073,C032,2020-01-11,2020-02-08,1693.45
INV00074,C033,2020-02-03,2020-02-29,1034.29
INV00075,C033,2020-02-15,2020-03-04,1551.44
INV00076,C034,2019-12-23,2020-02-06,7056.63
INV00077,C035,2020-02-28,2020-03-09,4918.34
INV00078,C036,2020-01-24,2020-03-02,7877.49
INV00079,C037,2020-02-12,2020-03-03,1237.77
INV00080,C039,2020-01-26,2020-03-05,13794.32
INV00081,C042,2020-02-24,2020-03-17,1798.04
INV00082,C043,2020-02-14,2020-02-26,1381.28
INV00083,C044,2020-02-03,2020-02-26,5769.67
INV00084,C045,2020-01-12,2020-02-19,5311.18
INV00085,C048,2020-01-30,2020-02-19,5021.83
INV00086,C049,2020-02-24,2020-03-11,430.56
INV00087,C049,2020-02-23,2020-03-15,645.85
INV00088,C050,2020-02-20,2020-03-04,4944.73
