date,client_id,amount,type,category
2020-01-01,SELF,1200.0,expense,Rent
2020-01-04,SELF,1317.0,expense,Operations
2020-01-17,C001,5282.79,income,Service
2020-01-20,C002,5192.27,income,Service
2020-02-10,C003,329.17,income,Partial
2020-02-14,C003,493.75,income,Partial
2020-02-09,C004,9695.5,income,UNKNOWN_ERROR
2020-01-12,C005,10009.25,income,Service
2020-01-24,C006,8439.47,income,Service
2020-01-27,C007,5638.95,income,UNKNOWN_ERROR
2020-01-07,C008,6561.72,income,Service
2020-02-13,C009,10951.27,income,Service
2020-02-14,C010,4030.03,income,Service
2020-01-06,C011,3513.2,income,Partial
2020-01-10,C011,5269.8,income,Partial
2020-01-13,C013,11636.3,income,Service
2020-01-28,C016,14617.37,income,Service
2020-01-17,C017,14372.57,income,Service
2020-02-06,C019,3543.07,income,Partial
2020-02-10,,5314.61,income,Partial
2020-01-03,C022,5432.69,income,Service
2020-01-31,C023,6498.85,income,Service
2020-01-15,C024,3741.91,income,Service
2020-02-14,C025,10164.51,income,Service
2020-01-20,C026,5816.1,income,Service
2020-02-14,C028,4614.65,income,Service
2020-01-10,C029,9270.32,income,Service
2020-01-06,,1823.24,income,Service
2020-01-26,C038,9624.42,income,Service
2020-01-30,C042,872.29,income,Partial
2020-02-03,C042,1308.44,income,Partial
2020-01-15,C046,12441.26,income,Service
2020-01-21,C047,8631.24,income,Service
2020-01-03,C048,3275.61,income,Service
2020-02-05,C050,5902.06,income,Service
2020-02-07,C052,7580.27,income,Service
2020-02-10,C054,543.84,income,Service
2020-01-30,C059,13819.19,income,Service
2020-02-05,C065,7856.41,income,Partial
2020-02-09,C065,11784.62,income,Partial
2020-02-10,C066,4064.08,income,Service
2020-01-08,C073,1060.1,income,Service
2020-01-11,C074,9304.21,income,Service
2020-01-12,C075,7571.93,income,Partial
2020-01-16,C075,11357.89,income,Partial
2020-01-03,C080,4207.66,income,Service
2020-01-20,C081,12012.96,income,Service
2020-01-02,C088,2392.71,income,Service
2020-01-08,C094,1171.11,income,UNKNOWN_ERROR
2020-01-12,,1756.66,income,Partial
2020-02-13,C095,6767.41,income,Service
2020-01-27,C096,855.34,income,Service
2020-02-04,C098,7508.36,income,Service
2020-02-01,SELF,1200.0,expense,Rent
2020-02-12,SELF,2551.0,expense,Operations
2020-03-04,C001,2016.51,income,Partial
2020-03-08,C001,3024.76,income,Partial
2020-02-28,,5288.0,income,UNKNOWN_ERROR
2020-03-05,C003,882.71,income,Service
2020-03-07,C004,3815.79,income,Partial
2020-03-11,C004,5723.69,income,Partial
2020-03-07,C005,10666.47,income,Service
2020-03-05,C006,8598.55,income,Service
2020-02-29,,5556.23,income,Service
2020-02-05,C008,2741.22,income,Partial
2020-02-09,C008,4111.84,income,Partial
2020-03-11,C009,10710.55,income,Service
2020-03-01,C014,11756.91,income,Service
2020-02-07,C016,9470.87,income,Service
2020-03-11,C017,9035.42,income,Service
2020-02-19,C018,11876.5,income,Service
2020-02-17,C019,11132.46,income,Service
2020-03-06,C021,2182.05,income,Service
2020-03-05,C024,3978.45,income,Service
2020-02-26,C027,1682.88,income,UNKNOWN_ERROR
2020-03-07,C028,3300.79,income,Partial
2020-03-11,C028,4951.18,income,Partial
2020-03-11,,4380.33,income,Partial
2020-03-15,C029,6570.5,income,Partial
