client_id,industry,contract_type,base_value
C001,Art,Retainer,10771
C002,Retail,Hourly,10967
C003,Finance,Project,1659
C004,Marketing,Hourly,3918
C005,Art,Retainer,2779
C006,Art,Project,793
C007,Marketing,Project,8490
C008,Tech,Hourly,10344
C009,Marketing,Project,8427
C010,Marketing,Retainer,8724
C011,Art,Hourly,8617
C012,Finance,Project,9465
C013,Finance,Project,1970
C014,Marketing,Hourly,10667
C015,Art,Project,5789
C016,Tech,Retainer,6456
C017,Tech,Project,9932
C018,Retail,Retainer,7706
C019,Retail,Hourly,7116
C020,Retail,Retainer,3521
C021,Retail,Project,4780
C022,Art,Retainer,7594
C023,Marketing,Hourly,10458
C024,Retail,Hourly,5891
C025,Marketing,Project,9228
C026,Finance,Project,6051
C027,Retail,Hourly,4364
C028,Marketing,Hourly,9271
C029,Marketing,Project,9424
C030,Marketing,Retainer,10928
C031,Finance,Hourly,1960
C032,Art,Project,1123
C033,Tech,Project,10195
C034,Art,Hourly,1829
C035,Art,Project,3504
C036,Tech,Project,8880
C037,Tech,Retainer,2236
C038,Retail,Project,7920
C039,Marketing,Retainer,1322
C040,Art,Project,1703
C041,Tech,Retainer,3952
C042,Art,Hourly,9545
C043,Retail,Retainer,2091
C044,Art,Retainer,8911
C045,Tech,Project,8935
C046,Art,Project,6738
C047,Retail,Retainer,6521
C048,Marketing,Retainer,9015
C049,Tech,Project,4643
C050,Marketing,Hourly,9453
C051,Tech,Project,8529
C052,Retail,Retainer,3907
C053,Art,Hourly,1198
C054,Tech,Retainer,3332
C055,Marketing,Project,1634
C056,Finance,Hourly,4870
C057,Art,Retainer,11979
C058,Retail,Project,9225
C059,Finance,Retainer,8838
C060,Retail,Retainer,2879
C061,Art,Project,5592
C062,Marketing,Hourly,5367
C063,Art,Retainer,2091
C064,Finance,Hourly,10336
C065,Finance,Project,1935
C066,Tech,Retainer,7913
C067,Tech,Hourly,7421
C068,Art,Retainer,10161
C069,Tech,Project,2512
C070,Tech,Retainer,11644
C071,Finance,Project,8336
C072,Retail,Retainer,2563
C073,Tech,Hourly,10378
C074,Art,Hourly,9929
C075,Marketing,Project,8740
C076,Art,Project,10189
C077,Marketing,Project,5043
C078,Retail,Hourly,2018
C079,Finance,Project,11808
C080,Tech,Retainer,8969
C081,Tech,Hourly,7463
C082,Marketing,Project,9872
C083,Retail,Hourly,7129
C084,Tech,Retainer,11292
C085,Finance,Project,4376
C086,Marketing,Project,9592
C087,Art,Retainer,6107
C088,Tech,Project,1531
C089,Tech,Project,8635
C090,Art,Retainer,9667
C091,Marketing,Project,779
C092,Finance,Hourly,5280
C093,Retail,Hourly,5802
C094,Retail,Retainer,8000
C095,Retail,Hourly,1218
C096,Retail,Hourly,4731
C097,Retail,Retainer,10603
C098,Marketing,Hourly,8284
C099,Finance,Project,11923
C100,Marketing,Project,3592
