invoice_id,client_id,due_date,paid_date,amount
INV00001,C001,2020-01-19,2020-02-10,11254.24
INV00002,C002,2019-12-25,2020-01-23,10782.06
INV00003,C003,2020-01-04,2020-01-18,1702.07
INV00004,C004,2019-12-27,2020-01-25,3744.64
INV00005,C005,2020-01-23,2020-02-09,2727.06
INV00006,C006,2020-01-03,2020-02-06,309.95
INV00007,C006,2019-12-29,2020-02-10,464.92
INV00008,C007,2020-01-04,2020-02-01,3507.78
INV00009,C007,2020-01-13,2020-02-05,5261.68
INV00010,C009,2019-12-30,2020-01-20,8178.87
INV00011,C010,2020-01-25,2020-02-05,3506.91
INV00012,C010,2019-12-26,2020-02-09,5260.36
INV00013,C011,2019-12-03,2020-01-07,6857.13
INV00014,C014,2019-11-25,2020-01-04,7023.72
INV00015,C016,2019-12-13,2020-01-03,5006.0
INV00016,C018,2020-01-24,2020-02-11,8710.76
INV00017,C019,2019-12-24,2020-01-17,7373.31
INV00018,C020,2019-12-07,2020-01-13,3006.51
INV00019,C021,2020-01-13,2020-01-21,4041.55
INV00020,C023,2019-12-15,2020-01-06,7249.17
INV00021,C026,2019-12-28,2020-02-07,7951.16
INV00022,C027,2019-11-21,2020-01-05,4553.39
INV00023,C028,2019-12-22,2020-01-31,6373.8
INV00024,C031,2019-12-19,2020-01-13,683.31
INV00025,C031,2020-01-01,2020-01-17,1024.97
INV00026,C032,2019-12-07,2020-01-16,383.13
INV00027,C032,2019-12-12,2020-01-20,574.7
INV00028,C035,2020-01-26,2020-02-09,4854.82
INV00029,C036,2019-12-30,2020-01-22,7963.23
INV00030,C037,2019-12-12,2020-01-13,856.53
INV00031,C037,2020-01-01,2020-01-17,1284.8
INV00032,C039,2019-11-30,2020-01-13,1705.52
INV00033,C040,2020-01-06,2020-02-01,1141.91
INV00034,C043,2020-01-12,2020-02-15,2739.6
INV00035,C044,2019-11-20,2020-01-02,2727.53
INV00036,C044,2019-11-26,2020-01-06,4091.29
INV00037,C045,2019-12-23,2020-01-29,4458.69
INV00038,C045,2020-01-24,2020-02-02,6688.04
INV00039,C046,2020-01-08,2020-01-25,4350.5
INV00040,C047,2019-12-05,2020-01-06,8122.93
INV00041,C049,2020-01-14,2020-02-03,2588.9
INV00042,C049,2020-01-21,2020-02-07,3883.35
INV00043,C050,2020-01-21,2020-01-30,7469.9
INV00044,C055,2020-01-20,2020-01-29,429.47
INV00045,C056,2020-01-24,2020-02-12,4566.8
INV00046,C057,2019-12-19,2020-01-24,5972.8
