date,client_id,amount,type,category
2020-01-01,SELF,1200.0,expense,Rent
2020-01-15,SELF,2528.0,expense,Operations
2020-01-06,SELF,4768.0,expense,Contractor
2020-01-12,SELF,9335.0,expense,
2020-02-10,C001,11254.24,income,Service
2020-01-23,C002,10782.06,income,Service
2020-01-18,C003,1702.07,income,UNKNOWN_ERROR
2020-01-25,C004,3744.64,income,Service
2020-02-09,C005,2727.06,income,Service
2020-02-06,C006,309.95,income,UNKNOWN_ERROR
2020-02-10,C006,464.92,income,Partial
2020-02-01,C007,3507.78,income,Partial
2020-02-05,C007,5261.68,income,Partial
2020-01-20,C009,8178.87,income,Service
2020-02-05,C010,3506.91,income,Partial
2020-02-09,C010,5260.36,income,Partial
2020-01-07,C011,6857.13,income,Service
2020-01-04,C014,7023.72,income,Service
2020-01-03,C016,5006.0,income,Service
2020-01-27,,12625.46,income,Service
2020-02-11,C018,8710.76,income,Service
2020-01-17,C019,7373.31,income,Service
2020-01-13,C020,3006.51,income,Service
2020-01-21,C021,4041.55,income,Service
2020-01-06,C023,7249.17,income,Service
2020-02-07,C026,7951.16,income,Service
2020-01-05,C027,4553.39,income,Service
2020-01-31,C028,6373.8,income,Service
2020-02-02,,8163.88,income,Service
2020-01-13,C031,683.31,income,Partial
2020-01-17,C031,1024.97,income,Partial
2020-01-16,C032,383.13,income,Partial
2020-01-20,C032,574.7,income,Partial
2020-02-09,C035,4854.82,income,Service
2020-01-22,C036,7963.23,income,Service
2020-01-13,C037,856.53,income,Partial
2020-01-17,C037,1284.8,income,Partial
2020-01-13,C039,1705.52,income,Service
2020-02-01,C040,1141.91,income,Service
2020-02-15,C043,2739.6,income,Service
2020-01-02,C044,2727.53,income,Partial
2020-01-06,C044,4091.29,income,Partial
2020-01-29,C045,4458.69,income,Partial
2020-02-02,C045,6688.04,income,Partial
2020-01-25,C046,4350.5,income,Service
2020-01-06,C047,8122.93,income,Service
2020-02-03,C049,2588.9,income,Partial
2020-02-07,C049,3883.35,income,Partial
2020-01-30,C050,7469.9,income,UNKNOWN_ERROR
2020-01-31,,2494.32,income,Service
2020-01-29,C055,429.47,income,Service
2020-02-12,C056,4566.8,income,Service
2020-01-24,C057,5972.8,income,Partial
2020-01-28,C057,8959.2,income,Partial
2020-02-12,C064,2531.95,income,Partial
2020-02-16,C064,3797.93,income,Partial
2020-02-12,C064,6329.88,income,Service
2020-01-03,C065,1076.32,income,UNKNOWN_ERROR
2020-01-07,C065,1614.48,income,Partial
2020-01-03,C069,4195.96,income,Service
2020-02-04,C072,2631.88,income,Service
2020-01-24,C074,5496.27,income,Service
2020-01-23,C081,11157.25,income,Service
2020-01-29,,3857.87,income,Service
2020-02-02,C088,1679.77,income,Service
2020-01-05,C096,2553.67,income,Service
2020-02-11,C100,2227.98,income,Service
2020-02-01,SELF,1200.0,expense,Rent
2020-02-13,SELF,2404.0,expense,UNKNOWN_ERROR
2020-03-14,C001,11243.74,income,UNKNOWN_ERROR
2020-02-24,C002,10714.84,income,Service
2020-02-27,C003,1716.05,income,Service
2020-03-14,C004,1642.91,income,Partial
2020-03-18,C004,2464.36,income,Partial
2020-03-03,C006,327.23,income,UNKNOWN_ERROR
2020-03-07,C006,490.84,income,Partial
2020-02-18,C007,8465.54,income,Service
2020-02-24,C008,10779.32,income,Service
2020-02-12,C009,3243.79,income,Partial
2020-02-16,C009,4865.69,income,Partial
2020-02-20,C010,8316.05,income,Service
2020-03-05,C011,11696.03,income,Service
2020-02-18,C012,12822.78,income,Service
2020-02-28,C013,2012.94,income,Service
2020-03-13,C014,11652.73,income,Service
